baseline,variant,gate_input,active_scales,status,metric,count,mean,std,median,q25,q75,ci95_low,ci95_high,baseline_mean,delta_vs_g2
G2-global-local,G1,global,"2,4,6",missing_formal_evidence,dominant_k2_ratio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G1,global,"2,4,6",missing_formal_evidence,dominant_k4_ratio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G1,global,"2,4,6",missing_formal_evidence,dominant_k6_ratio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G1,global,"2,4,6",missing_formal_evidence,raw_entropy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G1,global,"2,4,6",missing_formal_evidence,normalized_entropy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G1,global,"2,4,6",missing_formal_evidence,maximum_probability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G1,global,"2,4,6",missing_formal_evidence,first_second_margin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G1,global,"2,4,6",missing_formal_evidence,effective_active_scales,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G1,global,"2,4,6",missing_formal_evidence,normalized_effective_active_scales,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G1,global,"2,4,6",missing_formal_evidence,uniform_total_variation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G1,global,"2,4,6",missing_formal_evidence,dominant_branch_concentration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G2-local-only,concat_local,"2,4,6",missing_formal_evidence,dominant_k2_ratio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G2-local-only,concat_local,"2,4,6",missing_formal_evidence,dominant_k4_ratio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G2-local-only,concat_local,"2,4,6",missing_formal_evidence,dominant_k6_ratio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G2-local-only,concat_local,"2,4,6",missing_formal_evidence,raw_entropy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G2-local-only,concat_local,"2,4,6",missing_formal_evidence,normalized_entropy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G2-local-only,concat_local,"2,4,6",missing_formal_evidence,maximum_probability,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G2-local-only,concat_local,"2,4,6",missing_formal_evidence,first_second_margin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G2-local-only,concat_local,"2,4,6",missing_formal_evidence,effective_active_scales,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G2-local-only,concat_local,"2,4,6",missing_formal_evidence,normalized_effective_active_scales,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G2-local-only,concat_local,"2,4,6",missing_formal_evidence,uniform_total_variation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G2-local-only,concat_local,"2,4,6",missing_formal_evidence,dominant_branch_concentration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
G2-global-local,G2-without-z6,concat_z2_z4,"2,4",fixed_candidate_manifest_required,dominant_k2_ratio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
